X,Y,ID,OBJECTID,TYPE,SOURCE,DATE_,CONTROL,LOCATION,COLOR,LADDER,Primary_St,Cross_Stre,CrossType,TOOLTIP
-118.414571351827988,33.992577744978028,17515,29865,3,1,,1,225,1,0, , ,Yellow Controlled Crosswalk,Yellow Controlled Crosswalk
-118.415885053829228,33.991701772386605,17516,29866,3,1,,2,45,1,0, , ,Yellow Controlled Crosswalk,Yellow Controlled Crosswalk
-118.413276627442457,33.991285804748038,17517,29867,1,1,,1,225,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.413089886848425,33.99127798326171,17518,29868,1,1,,1,135,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.413122352131282,33.99150393303011,17519,29869,1,1,,1,45,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.413270103996311,33.991462037794776,17520,29870,1,1,,1,315,0,1, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.401398407985766,33.986480125089649,17521,29871,1,1,,1,315,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.401167589638874,33.986444360837716,17522,29872,1,1,,1,45,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.401146361709337,33.986274586560064,17523,29873,1,1,,1,135,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.40139334102615,33.986297516086914,17524,29874,1,1,,1,225,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.398843972218742,33.988105191959221,17525,29875,1,1,,1,315,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.398631735198052,33.987867303064313,17526,29876,1,1,,1,135,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.398977729770579,33.987902390309422,17527,29877,1,1,,1,225,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.399637139937127,33.987591810695534,17528,29878,1,1,,1,315,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.39963956898282,33.987433627216866,17529,29879,1,1,,1,225,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.406623479399229,33.985058896258046,17530,29880,3,1,2006-01-01T00:00:00.000Z,4,315,0,1,Inglewood bl,Beatrice St,White Uncontrolled School Crosswalk,White Uncontrolled School Crosswalk
-118.408675922657551,33.9827179720563,17531,29881,3,1,,2,315,1,0, , ,Yellow Controlled Crosswalk,Yellow Controlled Crosswalk
-118.408690428414204,33.982594437502698,17532,29882,3,1,,2,225,1,0, , ,Yellow Controlled Crosswalk,Yellow Controlled Crosswalk
-118.409250604844217,33.983343502588561,17533,29883,3,1,,2,315,1,0, , ,Yellow Controlled Crosswalk,Yellow Controlled Crosswalk
-118.409852782310693,33.983860990404722,17534,29884,3,1,,2,225,1,0, , ,Yellow Controlled Crosswalk,Yellow Controlled Crosswalk
-118.409709109475912,33.983842567805787,17535,29885,3,1,,2,135,1,0, , ,Yellow Controlled Crosswalk,Yellow Controlled Crosswalk
-118.411019160401352,33.983096048570488,17536,29886,3,1,,1,45,1,0, , ,Yellow Controlled Crosswalk,Yellow Controlled Crosswalk
-118.433688766848206,34.003836272152427,17537,29887,1,1,,1,315,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.433457658927082,34.003736059428299,17538,29888,1,1,,1,45,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.433458761976198,34.003534314852125,17539,29889,1,1,,1,135,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.433689101388367,34.003629838753056,17540,29890,1,1,,1,225,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.438118333521174,34.001622991740668,17541,29891,1,1,,1,315,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.437928967164169,34.001499057357158,17542,29892,1,1,,1,45,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.437914383105351,34.001310916090716,17543,29893,1,1,,1,135,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.438109190698611,34.001430339302836,17544,29894,1,1,,1,225,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.439284375436699,33.997247388691086,17545,29895,1,1,,2,315,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.439293788481422,33.99712144901104,17546,29896,1,1,,2,225,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.441149691269416,33.999858185614571,17547,29897,1,1,,1,45,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.441129808463103,33.999668848832549,17548,29898,1,1,,1,135,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.441348336204527,33.999785003099376,17549,29899,1,1,,1,225,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.441365570745006,33.999978226127354,17550,29900,1,1,,1,315,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.444187103211192,33.998538936712372,17551,29901,3,1,,1,315,1,0, , ,Yellow Controlled Crosswalk,Yellow Controlled Crosswalk
-118.444136616303254,33.998369195191437,17552,29902,3,1,,1,225,1,0, , ,Yellow Controlled Crosswalk,Yellow Controlled Crosswalk
-118.446489504149923,33.997400106959354,17553,29903,3,1,,1,315,1,0, , ,Yellow Controlled Crosswalk,Yellow Controlled Crosswalk
-118.446284423761355,33.997286909887585,17554,29904,3,1,,1,45,1,0, , ,Yellow Controlled Crosswalk,Yellow Controlled Crosswalk
-118.446237585592343,33.997103607508933,17555,29905,3,1,,1,135,1,0, , ,Yellow Controlled Crosswalk,Yellow Controlled Crosswalk
-118.446467242447412,33.997213777444259,17556,29906,3,1,,1,225,1,0, , ,Yellow Controlled Crosswalk,Yellow Controlled Crosswalk
-118.444408746670049,33.994709673818321,17557,29907,3,1,,2,315,1,0, , ,Yellow Controlled Crosswalk,Yellow Controlled Crosswalk
-118.444305738516533,33.994669771702853,17558,29908,3,1,,2,45,1,0, , ,Yellow Controlled Crosswalk,Yellow Controlled Crosswalk
-118.432368453218089,33.991306900752782,17559,29909,3,1,,2,315,1,0, , ,Yellow Controlled Crosswalk,Yellow Controlled Crosswalk
-118.432389289331027,33.991218952818407,17560,29910,3,1,,2,225,1,0, , ,Yellow Controlled Crosswalk,Yellow Controlled Crosswalk
-118.433014959666181,33.990883834684716,17561,29911,3,1,,2,45,1,0, , ,Yellow Controlled Crosswalk,Yellow Controlled Crosswalk
-118.433053450355899,33.990786601507644,17562,29912,3,1,,2,135,1,0, , ,Yellow Controlled Crosswalk,Yellow Controlled Crosswalk
-118.433168580615103,33.990801525164287,17563,29913,3,1,,2,225,1,0, , ,Yellow Controlled Crosswalk,Yellow Controlled Crosswalk
-118.440361689226108,33.987301701034902,17564,29914,1,1,,1,315,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.440159564064729,33.987280332910757,17565,29915,1,1,,1,45,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.440201867688302,33.987131282371259,17566,29916,1,1,,1,135,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.440412196190536,33.987157404916552,17567,29917,1,1,,1,225,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.441608865952176,34.061734053396556,17568,29918,1,1,,1,0,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.441513075481467,34.061595642728186,17569,29919,1,1,,1,90,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.441638187280091,34.061548644380402,17570,29920,1,1,,1,180,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
