OBJECTID,STNAME,Shape_Leng,Shape_Le_1,FROM_,TO_,GlobalID
299,PLATT AVE,614.802717546,614.802717546, , ,f6ef1aa3-bdb6-4273-9c36-49b30a9df811
300,SATICOY ST,1297.75466418,1297.75466418,AMESTOY AVE,BALBOA BLVD,4c13e5f1-e36e-4bfd-aa94-7c66b147dd86
301,LOUISE AVE,2704.82648166,2704.82648166,ROSCOE BLVD,PARTHENIA ST,85cc860b-8c4c-4da8-9dc5-f49a6b3a398d
302,SATICOY ST,1316.54594587,1316.54594587,VARIEL AVE,DE SOTO AVE,c2671d39-2289-4caf-8956-1bcab4348e75
303,PARTHENIA ST,3962.06383927,3962.06383927,VANALDEN AVE,RESEDA BLVD,3be204fe-d445-466c-ba51-936232987ec9
304,DE SOTO AVE,2637.31598481,2637.31598481,LASSEN ST,DEVONSHIRE ST,cc12b485-2f45-4799-91ab-7289f861f1d5
305,LASSEN ST,3872.78987096,3872.78987096,RESEDA BLVD,ZELZAH AVE,2cd739d8-757d-4035-bb0d-09e65ba46f8f
306,LASSEN ST,2639.53892896,2639.53892896,CANOGA AVE,DE SOTO AVE,8a3be347-4fd9-4f9b-b891-60d37e9a7854
307,DEVONSHIRE ST,3966.55409018,3966.55409018,OWENSMOUTH AVE,DE SOTO AVE,f0e81124-352c-4fa4-8905-fe79dbc0448b
308,ZELZAH AVE,10630.2259684,10630.2259684,NORDOFF ST,CHATSWORTH ST,73b3b906-f647-4ce3-a6f6-0fdf31ef8184
309,CHATSWORTH ST,1170.10183435,1170.10183435,LINDELY AVE,ZELZAH AVE,3007f254-df80-44c6-852c-dc04b5d42a0f
310,CHATSWORTH ST,662.080897984,662.080897984,GENESTA AVE,BALBOA BLVD,a78d3587-5612-48ef-b2ef-950c23d3d7e2
311,BALBOA BLVD,16491.1724002,16491.1724002,NORDOFF ST,HALSEY ST,a987284b-bd51-4dd2-b4e2-99b97e8320d6
312,RINALDI ST,1816.14880351,1816.14880351,BABBITT AVE,BALBOA BLVD,e4e11347-c1f1-4d0f-b8b0-d33c334f4f00
313,SHERMAN WAY,426.881979781,426.881979781,MEDICAL CENTER DR,ROYER AVE,3541e368-9ab8-4de8-857b-638a94616de6
314,SATICOY ST,723.15700417,723.15700417, , ,6a021f29-53ab-45c2-a181-2654a66328e5
315,VANOWEN ST,723.157004169,723.157004169, , ,92f176d4-8598-497e-871d-3a20886663e5
316,FIGUEROA ST,11328.1373066,2.14548055049,AVENUE 37,AVENUE 61,1d851623-4c6e-4a80-94db-5049a972884f
317,LINCOLN BLVD,6070.84664279,6070.84664279,MANCHESTER AVE,COMMONWEALTH AVE,e448ddbf-6afe-4b28-8448-907e298288ef
318,MARTIN LUTHER KING JR BLVD,15893.0195359,15893.0195359,WESTERN AVE,CENTRAL AVE,eece2103-fb98-4250-84e1-448e2563d3a4
319,COMMONWEALTH AVE,2593.17832135,2593.17832135,WILSHIRE BLVD,3RD ST,65665119-f43d-466d-9c60-d4d95062e71c
320,JEFFERSON BLVD,14506.4689637,14506.4689637,NORMANDIE AVE,CENTRAL AVE,69b8dfc5-c1f5-42ba-a523-ea979cd7f69e
321,FIGUEROA ST,3952.80210153,0.748636761654,AVENUE 26,AVENUE 37,e70007b3-d1ae-49a7-b526-90beb52f2e56
322,WASHINGTON BLVD,6884.70614663,6884.70614663,SPEEDWAY,LINCOLN BLVD,dea2eb52-5963-428e-930a-5d46d483f874
323,SAN FERNANDO RD,8119.76929409,8119.76929409,FIERRO ST,DIVISION ST,cd8f1379-de0e-418b-bd56-3fcd104b70d2
324,YORK BLVD,2909.88903661,2909.88903661,MOUNT ANGELUS DR,ARROYO VERDE WAY,c51d078f-c81a-4088-a278-fef4db40e72e
325,VENICE BLVD,7968.79446685,7968.79446685,ABBOT KINNEY BLVD,12TH AVE,c1279bd5-771a-43dc-ab02-5b2e1886e639
326,DALY ST,1237.22293557,1237.22293557,BROADWAY,PASADENA AVE,07a5052d-6e06-495d-b7c7-85f00e5c0016
327,FIGUEROA ST,12747.5778404,12747.5778404,ADAMS BLVD,1ST ST,d8b06175-e82a-41a9-b26a-b7a512338a4d
328,FEDERAL AVE,4876.26660188,4876.26660188,IDAHO AVE,SAN VICENTE BLVD,92e1f958-342d-4269-9d86-61a571b6ac6b
329,67TH ST,2649.53420774,2649.53420774,FIGUEROA ST,MAIN ST,4c3a1e79-1cbb-4a35-8d33-28dc3e0bf03a
330,CUMMINGS ST,1465.35697347,1465.35697347,1ST ST,CESAR E CHAVEZ AVE,9d54fc84-7907-4354-9041-d1b5cd7225d0
331,SPRING ST,5372.50156938,5372.50156938,1ST ST,9TH ST,45a21f7e-a11b-4ecd-b64c-90344966cd12
332,VIRGIL AVE,686.346489519,686.346489519,WILSHIRE BLVD,6TH ST,53577ddb-72a6-4c65-9072-de3c479ca4ad
333,WILSHIRE BLVD,29522.88458,29522.88458,FAIRFAX AVE,WITMER ST,3aa9e7b1-c473-4eb8-a9cb-88ed47a26ef3
334,UNION AVE,642.76887915,642.76887915,7TH ST,WILSHIRE BLVD,04bfd717-fb88-40b4-9272-feb010aef798
335,UNION AVE,1857.52395715,1857.52395715,PICO BLVD,OLYMPIC BLVD,3bc9a14d-065e-4e88-8660-2bc6ec2d3653
336,AVALON BLVD,5280.38149328,5280.38149328,FLORENCE AVE,SLAUSON AVE,16e7d7f2-d917-4a09-86cb-256b86b2c85d
337,WASHINGTON BLVD,5060.8746991,5060.8746991,FIGUEROA ST,SAN PEDRO ST,b0915a41-74e5-40b8-989c-844e83ed9887
338,CENTRAL AVE,23438.7358136,23438.7358136,SLAUSON AVE,1ST ST,68ebcdd3-54cf-450e-aa08-428d62ec693f
339,BROADWAY,572.348160617,572.348160617,2ND ST,1ST ST,2b070673-16ac-41c3-b33c-4aa0544c6bd2
340,BROADWAY,660.395382086,660.395382086,7TH ST,6TH ST,9d1b6496-3dac-4a4e-989d-a64b59a4a00a
341,SUNSET BLVD,18542.1874434,18542.1874434,VIRGIL AVE,BELLEVUE AVE,9fb4f449-03d3-4714-99f5-50ed88187df6
342,PASADENA AVE,411.17971227,411.17971227,FIGUEROA ST,AVENUE 38,06b73b6b-3027-4b76-aab1-ae08d107e995
343,PASADENA AVE,1732.54376866,1732.54376866,AVENUE 21,AVENUE 26,5ef3a5aa-aad8-43d0-8839-227b87b36782
344,MAIN ST,670.06058936,670.06058936,7TH ST,6TH ST,51c4a1d8-36ef-480b-9466-3296f1998e14
345,MAIN ST,679.564097754,679.564097754,10TH ST,9TH ST,6150fdac-cb67-442d-9fed-f0e4b3434cd5
346,BUNDY DR,13247.5911982,13247.5911982,STANWOOD DR,WILSHIRE BLVD,e796048f-7f69-43e4-8bb3-789807bb71fc
347,HOOVER ST,300.50447877,300.50447877,SUNSET PL,WILSHIRE BLVD,ad35fbfb-73f2-49d3-9278-fc2bb286c43d
348,30TH ST,2021.65042206,2021.65042206,HOOVER ST,FIGUEROA ST,8f2febcc-be1c-412d-8154-c554dc06d6e6
349,GLENDALE BLVD,3905.74586267,3905.74586267,TEMPLE ST,SUNSET BLVD,f433c1b5-eb77-4f94-849d-8124386505e1
350,WASHINGTON BLVD,7924.67265324,7924.67265324,ARLINGTON AVE,VERMONT AVE,e53df219-068f-4524-9aea-595104092957
351,2ND ST,1272.24609309,1272.24609309,BROADWAY,LOS ANGELES ST,334cbef9-fc0a-48c9-9e48-cfd730e642e9
352,SAN VICENTE BLVD,9369.47384336,9369.47384336,26TH ST,BINGHAM AVE,bfa06c61-84d5-48d6-81e0-6727cbe195db
353,ABBOT KINNEY BLVD,3752.28655009,3752.28655009,MAIN ST,VENICE BLVD,a580f020-b685-4233-9efb-6725c4019159
354,MANCHESTER AVE,1623.59101496,1623.59101496,AIRPORT BLVD,BELLANCA AVE,7f6b8ac4-0586-4801-a621-1515a29b2eda
355,ADAMS BLVD,1657.3276288,1657.3276288,CENTRAL AVE,HOOPER AVE,064477e5-e1cd-4b72-a121-c88debe55e6b
356,NORMANDIE AVE,3255.04425661,3255.04425661,OLYMPIC BLVD,VENICE BLVD,62cfa7b3-14b1-48d4-b5c3-a3d1b179e8b2
357,KINGSLEY DR,643.863369313,643.863369313, , ,0145c260-1268-47ff-a246-bdfaa3c4dafe
358,ROSEWOOD AVE,684.549332491,684.549332491,HARVARD BLVD,ARDMORE AVE,feb460e8-1a41-475b-8e2a-799e3d59abcc
359,HOLLYWOOD BLVD,19534.5515622,19534.5515622,MARTEL AVE,SUNSET BLVD,c2a33bbe-a588-4afc-9d55-dedd68e77357
360,PARTHENIA ST,4979.80083732,4979.80083732,COLUMBUS AVE,VAN NUYS BLVD,348081e5-bbc5-49e4-98c3-d8bfdefa701b
361,SHERMAN WAY,26408.8086006,26408.8086006,HASKELL AVE,LANKERSHIM BLVD,76faf2c9-517e-4e1c-ba76-c4eb81b855e0
362,VAN NUYS BLVD,26295.4326243,26295.4326243,PARTHENIA ST,FOOTHILL BLVD,1520bbdf-ff05-452f-aa7b-6c2fb99b927a
363,SEPULVEDA BLVD,16691.9526374,16691.9526374,BURBANK BL,LANARK ST,73e6f865-7470-4f01-85d8-0c155b60177b
364,PARTHENIA ST,1137.30959379,1137.30959379,SEPULVEDA BLVD,COLUMBUS AVE,8058a605-f13f-4fae-8bb9-7a61048ea848
365,CAHUENGA BLVD,2811.1446775,2811.1446775,BURBANK BLVD,MAGNOLIA BLVD,cacaa27f-b119-4e13-b71c-03d39c9da8e7
366,LAUREL CANYON BLVD,25441.8474087,25441.8474087,RIVERSIDE DR,ROSCOE BLVD,721c467a-4780-4114-a222-eeeca7983ad1
367,VAN NUYS BLVD,804.734303206,804.734303206,PARTHENIA ST,CHASE ST,317028f4-0555-4f84-ad03-b01909f599d4
368,LANKERSHIM BLVD,16981.4366849,16981.4366849,CAMARILLO ST,SHERMAN WAY,14f55416-7fd4-4471-bbeb-e638794c83b8
369,ROSCOE BLVD,11801.4424598,11801.4424598,ORION AVE,WOODMAN AVE,b3c96257-c46c-45a4-991a-78ae8e9d7e25
370,STRATHERN ST,7168.46483481,7168.46483481,LANKERSHIM BLVD,SAN FERNANDO RD,422954a1-7d62-4685-b719-5aa47173b9ef
371,BURBANK BLVD,18435.0843545,18435.0843545,FULTON AVE,CAHUENGA BLVD,9dcd7625-d26c-4ff9-b1d3-46b29b5fabcb
372,VINELAND AVE,11888.4133618,11888.4133618,CAMARILLO ST,KITTRIDGE ST,27b18bfa-2d70-41ba-945a-170dbca2a0f0
373,VICTORY BLVD,7953.37968171,7953.37968171,LAUREL CANYON BLVD,VINELAND AVE,81134538-4bd8-43ac-b266-7a7dcb97829f
